archaeological_stratigraphy.cultural_period;archaeological_stratigraphy.technocomplex;archaeological_stratigraphy.regional_technocomplex;archaeological_stratigraphy.idarchstrat;locality.x;locality.y;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;-8.653298;39.530409;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;-8.547178;39.980955;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;-7.100869;40.979184;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;-3.429722;37.448889;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;1.7743;41.2235;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;3.837433;46.476466;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;4.333187;43.924079;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;4.586667;47.247778;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;4.7599;46.439549;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;5.535766;45.909205;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;8.331649;44.164327;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;9.7612;48.387;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;13.88;44.89;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;18.481;42.779;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;20.84;39.24;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;22.807555;37.689788;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;35.5016;32.87213;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;39.04966;51.397797;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;60.924109;55.958563;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;83.03;51.17;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;115.47575;45.23983;
Bronze Age;NP/ Bronze Age;Eurasia;Bronze Age;133.08675;59.6304;
Chalcolithic;NP/ Chalcolithic;Eurasia;Chalcolithic;-9.253889;39.326667;
Chalcolithic;NP/ Chalcolithic;Eurasia;Chalcolithic;2.661661;48.251238;
Chalcolithic;NP/ Chalcolithic;Eurasia;Chalcolithic;4.333187;43.924079;
Chalcolithic;NP/ Chalcolithic;Eurasia;Chalcolithic;4.7599;46.439549;
Chalcolithic;NP/ Chalcolithic;Eurasia;Chalcolithic;7.12;47.43;
Chalcolithic;NP/ Chalcolithic;Eurasia;Chalcolithic;35.47073;29.95197;
Chalcolithic;NP/ Chalcolithic;Eurasia;Chalcolithic;39.89646;44.19318;
Chalcolithic;NP/ Chalcolithic;Eurasia;Chalcolithic;42.6085;42.389;
Chalcolithic;NP/ Chalcolithic;Eurasia;Chalcolithic;42.76183;42.28362;
Chalcolithic;NP/ Chalcolithic;Eurasia;Chalcolithic;43.316331;42.31259;
Chalcolithic;NP/ Chalcolithic;Eurasia;Chalcolithic;43.672042;42.526857;
