"","assemblage.name","assemblage.category","country_continent.continent","locality.idlocality","locality.x","locality.y","query_age_min","query_age_max"
"1","Aar Layer 4-2 Fauna","paleofauna","Africa","Aar 1",16.488989,-26.772622,25000,40000
"2","Aar Layer 1 Archaeological Assemblage","miscellaneous finds, raw material, symbolic artifacts, technology, typology","Africa","Aar 1",16.488989,-26.772622,30000,300000
"3","Aar Layer 4-2 Archaeological Assemblage","miscellaneous finds, raw material, symbolic artifacts, technology, typology","Africa","Aar 1",16.488989,-26.772622,25000,40000
"4","Aar 2 Layer 4-1 Archaeological Assemblage","miscellaneous finds, raw material, technology, typology","Africa","Aar 2",16.468356,-26.728179,30000,300000
"5","Aar 2 fauna","paleofauna","Africa","Aar 2",16.468356,-26.728179,6860,300000
"6","Aar 2 fauna","paleofauna","Africa","Aar 2",16.468356,-26.728179,6860,30000
"7","Aar 2 fauna","paleofauna","Africa","Aar 2",16.468356,-26.728179,6860,7020
"8","MSA hilltop rubble","raw material, technology, typology","Africa","Aasvoelkop",28,-26.17,30000,300000
"9","Abdur MSA assamblage","miscellaneous finds, raw material, technology, typology","Africa","Abdur Archaeological Site",39.864369,15.151203,118000,132000
"10","Abri Blanchard des Roches Sector 4/5 Fauna","animal remains, paleofauna","Europe","Abri Blanchard des Roches",1.101003,45.000152,0,11780
"11","Abri Blanchard des Roches Sector 4/5 Unit C Archaeological Assemblage","organic tools, raw material, symbolic artifacts, technology, typology","Europe","Abri Blanchard des Roches",1.101003,45.000152,30000,43000
"12","Abri Blanchard des Roches Exc. Didon Archaeological Assemblage","miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology","Europe","Abri Blanchard des Roches",1.101003,45.000152,30000,43000
"13","Abri Blanchard des Roches Sector 1 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Blanchard des Roches",1.101003,45.000152,30000,43000
"14","Abri Caminade Est Unit G Archaeological Assemblage","miscellaneous finds, organic tools, raw material, technology, typology","Europe","Abri Caminade",1.248703,44.868487,35700,38700
"15","Abri Caminade Est Unit D1 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Caminade",1.248703,44.868487,30000,35130
"16","Abri Caminade Est Unit D2i Archaeological Assemblage","miscellaneous finds, organic tools, raw material, technology, typology","Europe","Abri Caminade",1.248703,44.868487,33150,35130
"17","Abri Caminade Est Unit D2s Archaeological Assemblage","miscellaneous finds, raw material, technology, typology","Europe","Abri Caminade",1.248703,44.868487,33150,35130
"18","Abri Caminade Est Unit F Archaeological Assemblage","miscellaneous finds, organic tools, raw material, technology, typology","Europe","Abri Caminade",1.248703,44.868487,34300,36500
"19","Abri Caminade Est Unit M1 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Caminade",1.248703,44.868487,35700,300000
"20","Abri Caminade Est Unit M2 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Caminade",1.248703,44.868487,35700,300000
"21","Abri Caminade Est Unit M3 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Caminade",1.248703,44.868487,35700,300000
"22","Abri Caminade Ouest Unit C Archaeological Assemblage","raw material, technology, typology","Europe","Abri Caminade",1.248703,44.868487,30000,43000
"23","Abri Caminade Ouest Unit E Archaeological Assemblage","raw material, technology, typology","Europe","Abri Caminade",1.248703,44.868487,30000,43000
"24","Abri Castanet Northern Sector Unit II Archaeological Assemblage","symbolic artifacts","Europe","Abri Castanet",1.101332,44.999663,31450,32950
"25","Abri Castanet Exc. Peyrony Unit C Archaeological Assemblage","organic tools, raw material, symbolic artifacts, technology, typology","Europe","Abri Castanet",1.101332,44.999663,30000,43000
"26","Abri Castanet Exc. Peyrony Unit C fauna","animal remains, paleofauna","Europe","Abri Castanet",1.101332,44.999663,30000,43000
"27","Abri Castanet Exc. Peyrony Unit C microfauna","animal remains, paleofauna","Europe","Abri Castanet",1.101332,44.999663,30000,43000
"28","Abri Castanet Exc. Peyrony Unit A Archaeological Assemblage","organic tools, raw material, symbolic artifacts, technology, typology","Europe","Abri Castanet",1.101332,44.999663,30000,43000
"29","Abri Castanet Southern Sector Unit I Archaeological Assemblage","raw material, technology, typology","Europe","Abri Castanet",1.101332,44.999663,24710,34840
"30","Abri Castanet Exc. Peyrony Unit A fauna","animal remains, paleofauna","Europe","Abri Castanet",1.101332,44.999663,30000,43000
"31","Abri Cellier Unit C fauna","animal remains, paleofauna","Europe","Abri Cellier",1.053517,44.992153,32000,32900
"32","Abri Cellier Unit C Archaeological Assemblage","organic tools, raw material, symbolic artifacts, technology, typology","Europe","Abri Cellier",1.053517,44.992153,32000,32900
"33","Abri Cellier Unit A fauna","animal remains, paleofauna","Europe","Abri Cellier",1.053517,44.992153,33050,34150
"34","Abri Cellier Unit A Archaeological Assemblage","organic tools, raw material, symbolic artifacts, technology, typology","Europe","Abri Cellier",1.053517,44.992153,33050,34150
"35","Abri Chadourne Unit A-B Archaeological Assemblage","raw material, technology, typology","Europe","Abri Chadourne",1.01614,44.936467,30000,300000
"36","Abri Chadourne Unit D Archaeological Assemblage","raw material, technology, typology","Europe","Abri Chadourne",1.01614,44.936467,30000,300000
"37","Abri Chadourne Unit C Archaeological Assemblage","organic tools, raw material, technology, typology","Europe","Abri Chadourne",1.01614,44.936467,30000,300000
"38","Abri Chadourne Unit B Archaeological Assemblage","raw material, technology, typology","Europe","Abri Chadourne",1.01614,44.936467,30000,300000
"39","Abri Chadourne Unit A Archaeological Assemblage","raw material, technology, typology","Europe","Abri Chadourne",1.01614,44.936467,30000,300000
"40","AH m assemblage","raw material, technology, typology","Europe","Abri I am Schulerloch",11.816944,48.927778,46900,55900
"41","AH o assemblage","raw material, technology, typology","Europe","Abri I am Schulerloch",11.816944,48.927778,46900,55900
"42","AH u assemblage","raw material, technology, typology","Europe","Abri I am Schulerloch",11.816944,48.927778,55900,350000
"43","Abri Labattut Unit 3 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Labattut",1.100449,45.000359,25000,35000
"44","Abri Labattut Unit 2 Archaeological Assemblage","raw material, symbolic artifacts, technology, typology","Europe","Abri Labattut",1.100449,45.000359,25000,35000
"45","Abri Pataud Level 2 human remains 11 (PX21)","human remains","Europe","Abri Pataud",1.012781,44.936947,19130,22600
"46","Abri Pataud Level 9 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,32900,33900
