Table archaeological_layer_age
archlayer_idlocality;archlayer_name;laboratory_idlaboratory;analysis_number;age;positive_standard_deviation;negative_standard_deviation;dating_method;material_dated;date_of_analysis;comments;owner;created;mod_history
Abri I am Schulerloch;AH m;H;H-AS;51400;4500;4500;TL (thermoluminescence) dating;lithic burnt;1998;after Böhner 2008, tab. 31; Institute for archaeometry, Heidelberg; Sample AS, Inv.-Nr. 83H6-S2;Julia Lutz;01.10.2020;Julia Lutz  01.10.20;
Abri Pié Lombard;Middle Paleolithic;Gif;;73800;9600;9600;TL (thermoluminescence) dating;lithic burnt;1985;dating from mid 1980s. sample no.: PL 3 from subunit e.;Klaus Herkert;16.03.2021;Klaus Herkert  16.03.21;
Abri Pié Lombard;Middle Paleolithic;Gif;;67000;8100;8100;TL (thermoluminescence) dating;lithic burnt;1985;dating from mid 1980s. sample no.: PL 4 from subunit e.;Klaus Herkert;16.03.2021;Klaus Herkert  16.03.21;
Abri Pié Lombard;Middle Paleolithic;Gif;;108400;9800;9800;TL (thermoluminescence) dating;lithic burnt;1985;dating from mid 1980s. sample no.: PL 6; C3e n°2327 from subunit e. date estimated too old;Klaus Herkert;16.03.2021;Klaus Herkert  16.03.21;
Abri du Maras;level 4.1;MNHN;;40000;3000;3000;ESR (electron spin resonance) dating;tooth;2012;according to Richard et al 2015. Sample Nr. AM L6-229;Klaus Herkert;03.05.2021;Klaus Herkert  03.05.21;
Abri du Maras;level 4.1;MNHN;;46000;3000;3000;ESR (electron spin resonance) dating;tooth;2012;according to Richard et al 2015. Sample Nr. AM L6-221;Klaus Herkert;03.05.2021;Klaus Herkert  03.05.21;
Abri du Maras;level 4.2;MNHN;;55000;2000;2000;ESR (electron spin resonance) dating;tooth;2012;according to Richard et al 2015. Sample Nr. AM J6-393;Klaus Herkert;03.05.2021;Klaus Herkert  03.05.21;
Abri du Maras;level 4.2;MNHN;;46000;6000;6000;ESR (electron spin resonance) dating;tooth;2012;according to Richard et al 2015. Sample Nr. AM G6-203;Klaus Herkert;03.05.2021;Klaus Herkert  03.05.21;
Abri du Maras;level 4.2;MNHN;;42000;3000;3000;ESR (electron spin resonance) dating;tooth;2012;according to Richard et al 2015. Sample Nr. AM L6-769;Klaus Herkert;03.05.2021;Klaus Herkert  03.05.21;
Abri du Maras;niveau 5;Ma;Ma155;72000;3000;3000;U series (uranium-thorium) dating;bone;2000;according to Moncel & Michel 2000. Dating probably earlier. Sample Nr. C5-M2-155;Klaus Herkert;03.05.2021;Klaus Herkert  03.05.21;
Abri du Maras;niveau 5;Ma;Ma116;89000;4000;4000;U series (uranium-thorium) dating;bone;2000;according to Moncel & Michel 2000. Dating probably earlier. Sample Nr. C5-L1-116;Klaus Herkert;03.05.2021;Klaus Herkert  03.05.21;
Abri du Maras;niveau 5;Ma;Ma107;87000;5000;5000;U series (uranium-thorium) dating;bone;2000;according to Moncel & Michel 2000. Dating probably earlier. Sample Nr. C5-K4-107;Klaus Herkert;03.05.2021;Klaus Herkert  03.05.21;
Abri du Maras;niveau 5;Ma;Ma134;91000;4000;4000;U series (uranium-thorium) dating;bone;2000;according to Moncel & Michel 2000. Dating probably earlier. Sample Nr. C5-L3-134;Klaus Herkert;03.05.2021;Klaus Herkert  03.05.21;
