assemblage.name;assemblage.category;country_continent.continent;geological_stratigraphy.correlation;geological_stratigraphy.age_min;geological_stratigraphy.age_max;locality.idlocality;locality.x;locality.y
Aar Layer 1 Archaeological Assemblage;miscellaneous finds, raw material, symbolic artifacts, technology, typology;Africa;archaeological (cultural) stratigraphy, geology;30000;300000;Aar 1;16.488989;-26.772622;
Aar Layer 4-2 Archaeological Assemblage;miscellaneous finds, raw material, symbolic artifacts, technology, typology;Africa;archaeological (cultural) stratigraphy;25000;40000;Aar 1;16.488989;-26.772622;
Aar Layer 4-2 Fauna;paleofauna;Africa;archaeological (cultural) stratigraphy;25000;40000;Aar 1;16.488989;-26.772622;
Aar 2 Layer 4-1 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;30000;300000;Aar 2;16.468356;-26.728179;
Aar 2 fauna;paleofauna;Africa;14C (radiocarbon) dating;6860;7020;Aar 2;16.468356;-26.728179;
Aar 2 fauna;paleofauna;Africa;archaeological (cultural) stratigraphy, stratigraphy;6860;30000;Aar 2;16.468356;-26.728179;
Aar 2 fauna;paleofauna;Africa;stratigraphy;6860;300000;Aar 2;16.468356;-26.728179;
MSA hilltop rubble;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;30000;300000;Aasvoelkop;28;-26.17;
Abdur MSA assamblage;miscellaneous finds, raw material, technology, typology;Africa;U series (uranium-thorium) dating;118000;132000;Abdur Archaeological Site;39.864369;15.151203;
Abri Blanchard des Roches Exc. Didon Archaeological Assemblage;miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Europe;archaeological (cultural) stratigraphy;30000;43000;Abri Blanchard des Roches;1.101003;45.000152;
Abri Blanchard des Roches Sector 1 Archaeological Assemblage;raw material, technology, typology;Europe;archaeological (cultural) stratigraphy;30000;43000;Abri Blanchard des Roches;1.101003;45.000152;
Abri Blanchard des Roches Sector 4/5 Fauna;animal remains, paleofauna;Europe;geology;0;11780;Abri Blanchard des Roches;1.101003;45.000152;
Abri Blanchard des Roches Sector 4/5 Unit C Archaeological Assemblage;organic tools, raw material, symbolic artifacts, technology, typology;Europe;archaeological (cultural) stratigraphy;30000;43000;Abri Blanchard des Roches;1.101003;45.000152;
Abri Caminade Est Unit D1 Archaeological Assemblage;raw material, technology, typology;Europe;archaeological (cultural) stratigraphy, geology;30000;35130;Abri Caminade;1.248703;44.868487;
