Table geological_layer_age
geolayer_idlocality;geolayer_name;laboratory_idlaboratory;analysis_number;age;positive_standard_deviation;negative_standard_deviation;dating_method;material_dated;date_of_analysis;comments;owner;created;mod_history;
Aar 2;Layer 7;Pta;Pta-1751;6940;80;80;14C (radiocarbon) dating;ostrich eggshell;;published in Vogel and Visser 1981;andrew;27.11.2014;maria  27.11.14; andrew  07.06.19; andrew  12.03.20;
Abri Caminade;Est Unit D2;GifA;GifA-97187;34140;990;990;14C (radiocarbon) dating;bone;2001;;andrew;19.08.2018;Matthias Göden  19.08.18;
Abri Caminade;Est Unit F;GifA;GifA-97186;35400;1100;1100;14C (radiocarbon) dating;bone;2001;;andrew;19.08.2018;Matthias Göden  19.08.18;
Abri Caminade;Est Unit G;GifA;GifA-97185;37200;1500;1500;14C (radiocarbon) dating;bone;2001;;andrew;19.08.2018;Matthias Göden  19.08.18;
Abri Castanet;Northern Sector Unit II;OxA;OxA-21640;31900;450;450;14C (radiocarbon) dating;bone;2012;;superuser;21.08.2018;Matthias Göden  21.08.18; superuser  12.03.20;
Abri Castanet;Northern Sector Unit II;OxA;OxA-21642;32500;450;450;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Northern Sector Unit II;OxA;OxA-21641;31950;450;450;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Northern Sector Unit II;OxA;OxA-21644;32350;450;450;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Northern Sector Unit II;OxA;OxA-21643;32200;450;450;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Northern Sector Unit II;OxA;OxA-21645;32000;450;450;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Southern Sector Unit I;GifA;GifA-99179;32310;520;520;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Southern Sector Unit I;GifA;GifA-97330;24950;240;240;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Southern Sector Unit I;GifA;GifA-99165;31430;390;390;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Southern Sector Unit I;OxA;OxA-21560;32800;450;450;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Southern Sector Unit I;OxA;OxA-21559;33250;500;500;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Southern Sector Unit I;OxA;OxA-21562;32550;450;450;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Southern Sector Unit I;GifA;GifA-97313;32750;460;460;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Southern Sector Unit I;GifA;GifA-99166;34320;520;520;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Southern Sector Unit I;OxA;OxA-21566;32550;600;600;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Southern Sector Unit I;OxA;OxA-21558;32350;450;450;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Southern Sector Unit I;GifA;GifA-99180;32950;520;520;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Southern Sector Unit I;GifA;GifA-97312;32460;420;420;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Southern Sector Unit I;OxA;OxA-21563;32600;450;450;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Southern Sector Unit I;OxA;OxA-21561;32050;450;450;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Castanet;Southern Sector Unit I;OxA;OxA-21564;32950;500;500;14C (radiocarbon) dating;bone;2012;;andrew;21.08.2018;Matthias Göden  21.08.18;
Abri Cellier;Unit A;OxA;OxA-32204;33600;550;550;14C (radiocarbon) dating;bone;2017;;Matthias Göden;11.09.2018;Matthias Göden  11.09.18;
Abri Cellier;Unit C;OxA;OxA-32203;32450;450;450;14C (radiocarbon) dating;bone;2017;;Matthias Göden;11.09.2018;Matthias Göden  11.09.18;
Abri Cellier;Unit E;OxA;OxA-X-2628-42;28060;310;310;14C (radiocarbon) dating;bone;2017;;andrew;11.09.2018;Matthias Göden  11.09.18; andrew  05.03.21;
Abri Pataud;Eboulis 3/4;OxA;OxA-166;26100;900;900;14C (radiocarbon) dating;bone;1987;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Eboulis 3/4;OxA;OxA-687;25500;700;700;14C (radiocarbon) dating;bone;1987;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
