assemblage.name;assemblage.created;country_continent.continent;locality.idlocality;locality.country;locality.created;
Ain Boucherit AB-Lw Archaeolgocial Assemblage;24.03.2021;Africa;Ain Boucherit;Algeria;06.05.2011;
Ain Boucherit AB-Up Archaeological Assemblage;24.03.2021;Africa;Ain Boucherit;Algeria;06.05.2011;
Ain Boucherit Member P Faunal Remains;06.05.2011;Africa;Ain Boucherit;Algeria;06.05.2011;
Ain Hanech Fauna;03.05.2011;Africa;Ain Hanech;Algeria;03.05.2011;
Ain Jourdel Fauna;08.09.2011;Africa;Ain Jourdel;Algeria;08.09.2011;
Arambourgs inventar;26.07.2012;Africa;Ain Hanech;Algeria;03.05.2011;
Bel Hacel Fauna;05.09.2011;Africa;Bel Hacel;Algeria;05.09.2011;
El Kherba Fauna;05.09.2011;Africa;El Kherba;Algeria;05.09.2011;
Errayah Niveau inferieur Archaeological Assemblage;12.09.2012;Africa;Errayah;Algeria;08.08.2012;
Errayah Niveau superieur Archaeological Assemblage;12.09.2012;Africa;Errayah;Algeria;08.08.2012;
Layer A;24.07.2012;Africa;El Kherba;Algeria;05.09.2011;
Layer A;24.07.2012;Africa;Ain Hanech;Algeria;03.05.2011;
Layer B;24.07.2012;Africa;El Kherba;Algeria;05.09.2011;
Layer B;24.07.2012;Africa;Ain Hanech;Algeria;03.05.2011;
Layer C;24.07.2012;Africa;Ain Hanech;Algeria;03.05.2011;
Layer C;24.07.2012;Africa;El Kherba;Algeria;05.09.2011;
Mansourah Fauna;06.05.2011;Africa;Mansourah;Algeria;06.05.2011;
Mansourah Unit 2+1 Archaeological Assemblage;16.07.2012;Africa;Mansourah;Algeria;06.05.2011;
Mansourah Unit 3 base Archaeological Assemblage;16.07.2012;Africa;Mansourah;Algeria;06.05.2011;
Mansourah Unit 3 masse Archaeological Assemblage;16.07.2012;Africa;Mansourah;Algeria;06.05.2011;
Oued Djebbana Unit B Archaeological Assemblage;20.07.2012;Africa;Oued Djebbana;Algeria;12.07.2012;
Ternifine Archaeological Assemblage;21.07.2012;Africa;Ternifine;Algeria;03.05.2011;
Ternifine Faunal Remains;03.05.2011;Africa;Ternifine;Algeria;03.05.2011;
Ternifine Human Remains 01;17.09.2013;Africa;Ternifine;Algeria;03.05.2011;
Ternifine Human Remains 02;17.09.2013;Africa;Ternifine;Algeria;03.05.2011;
Ternifine Human Remains 03;17.09.2013;Africa;Ternifine;Algeria;03.05.2011;
Ternifine Human Remains 04;17.09.2013;Africa;Ternifine;Algeria;03.05.2011;
Ternifine Human Remains 05;17.09.2013;Africa;Ternifine;Algeria;03.05.2011;
Ternifine Human Remains 06;17.09.2013;Africa;Ternifine;Algeria;03.05.2011;
Ternifine Human Remains 07;17.09.2013;Africa;Ternifine;Algeria;03.05.2011;
Ternifine Human Remains 08;17.09.2013;Africa;Ternifine;Algeria;03.05.2011;
Ternifine human remains 09;17.09.2013;Africa;Ternifine;Algeria;03.05.2011;
Ternifine human remains 10;17.09.2013;Africa;Ternifine;Algeria;03.05.2011;
Ternifine human remains 11;17.09.2013;Africa;Ternifine;Algeria;03.05.2011;
Ternifine human remains 12;17.09.2013;Africa;Ternifine;Algeria;03.05.2011;
Ternifine human remains 13;17.09.2013;Africa;Ternifine;Algeria;03.05.2011;
lithic inventar;20.07.2012;Africa;Oued Djouf El Djemel;Algeria;12.07.2012;
050728-10;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-11;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-12;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-13;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-16;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-17;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-18;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-19;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-20;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-21;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-22;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-23;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-24;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-25;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-4;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-5;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-7;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-8;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050728-9;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050802-12;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050802-13;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050802-14;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050802-15;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050802-16;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050802-17;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050802-18;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050802-19;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050802-21;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050802-22;31.10.2014;Asia;Darbas-2;Armenia;07.02.2012;
050802-23;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050802-24;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050802-4;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050802-5;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050802-6;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050802-7;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050804-11;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050804-12;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050804-13;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050804-14;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050804-15;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050804-2;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050805-10;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050805-5;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050805-6;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050805-8;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050805-9;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
050806-1;18.09.2014;Asia;Brnakot-2;Armenia;07.02.2012;
050806-14;18.09.2014;Asia;Brnakot-2;Armenia;07.02.2012;
050806-2;18.09.2014;Asia;Brnakot-2;Armenia;07.02.2012;
050806-3;18.09.2014;Asia;Brnakot-2;Armenia;07.02.2012;
050806-4;18.09.2014;Asia;Brnakot-2;Armenia;07.02.2012;
050806-5;18.09.2014;Asia;Brnakot-2;Armenia;07.02.2012;
050806-6;18.09.2014;Asia;Brnakot-2;Armenia;07.02.2012;
050806-7;18.09.2014;Asia;Brnakot-2;Armenia;07.02.2012;
050806-8;18.09.2014;Asia;Brnakot-2;Armenia;07.02.2012;
050807-1;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050807-2;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050807-3;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050807-4;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050807-5;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050807-6;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050807-7;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
050807-8;19.09.2014;Asia;Uyts-2;Armenia;07.02.2012;
070726-1;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-100;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-11;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-12;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-13;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-14;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-15;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-16;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-17;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-19;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-2;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-20;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-22;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-23;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-24;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-25;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-26;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-27;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-28;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-29;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-3;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-30;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-32;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-33;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-34;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-35;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-36;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-37;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-38;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-39;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-4;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-40;18.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-41;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-42;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-43;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-44;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-46;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-47;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-49;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-50;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-51;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-52;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-53;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-54;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-56;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-57;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-58;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-59;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-6;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-60;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-61;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-62;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
070726-63;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
