publication_view.author;publication_view.publication_title;publication_view.publication_year
A., A.A., Luneva, D.E., Akhteryakova, A.V., Borisov, M.A.;Issledovaniya mnogosloinoi paleoliticheskoi stoyanki Tinit-1 (Yuzhnyi Dagestan) v 2011 godu [Research of stratified palaeolithic site of Tinit-1, South Dagestan, in 2011];2011;
Abbate, E., Albianelli, A., Azzaroli, A., Benvenuti, M., Tesfamariam, B., Bruni, P., Cipriani, N., Clarke, R.J., Ficcarelli, G., Macchiarelli, R., Napoleone, G., Papini, M., Rook, L., Sagri, M., Tewelde Medhin, T., Torre, D., Villa, I.;A one-million-year-old Homo cranium from the Danakil (Afar) Depression of Eritrea;1998;
Abbate, E., Beraki, W., Bruni, P., Falorni, P., Papini, M., Sagri, M., Simret, G., Tewelde, M.T.;Geology of the Homo-bearing Pleistocene Dandiero Basin (Buia Region, Eritrea Danakil Depression);2004;
Abbazzi, L., Fanfani, F., Ferretti, M.P., Rook, L., Cattani, L., Masini, F., Mallegni, F., Negrino, F., Tozzi, C.;New Human Remains of Archaic Homo sapiens and Lower Palaeolithic Industries from Visogliano (Duino Aurisina, Trieste, Italy);2000;
Abel, O., G., K.;Die Drachenhöhle bei Mixnitz;1931;
Abel, W.;Ein menschlicher Milchschneidezahn aus der Klausenhöhle (Ndb.);1936;
Abramova, Z.A.;Krasnyi Yar - novaya paleoliticheskaya stoyanka na Angare [Krasnyi Yar - new Palaeolithic site at Angar];1962;
Abruzzese, C., Aureli, D., Rocca, R.;Assessment of the Acheulean in Southern Italy: New study on the Atella site (Basilicata, Italy);2016;
Absolon, K., Klima, B.;Predmosti: Ein Mammutjägerplatz in Mähren;1977;
Accorsi, C.A., Aiello, E., Bartolini, C., Castelletti, L., Rodolfi, G., Ronchitelli, A.;Il giacimento Paleolitico di Serino (Avellino): stratigrafia, ambienti e paletnologia;1979;
Adam, E.;The Upper Palaeolithic stone industries of Epirus in their regional setting;1999;
