publication_view.idpublication;publication_view.publication_year;publication_view.source_title;
2;2004;Rivista Italiana di Paleontologia e Stratigrafia;
3;2004;Rivista Italiana di Paleontologia e Stratigrafia;
4;2006;Nature;
5;1931;The Journal of the Anthropological Institute of Great Britain and Ireland;
6;2008;Earth and Planetary Science Letters;
8;2003;Journal of Archaeological Science;
9;1996;Journal of Human Evolution;
10;1993;Journal of Human Evolution;
11;2006;South African Journal of Science;
12;1990;Guide to Archaeological Sites in the Northern Cape: Prepared for the Southern African Association of Archaeologists Post-conference Excursion, 9th-13th September 1990;
13;1998;The South African Archaeological Bulletin;
14;1993;American Journal of Physical Anthropology;
15;1994;South African Journal of Science;
16;1995;American Journal of Physical Anthropology;
17;1994;South African Journal of Science;
18;2009;Quaternary Science Reviews;
19;2008;The South African Archaeological Bulletin;
20;2004;Studies on the Early Paleolithic site of Melka Kunture, Ethiopia;
21;1986;Journal of Archaeological Science;
22;2006;Revealing Transitions Toward Modern Human Behavior;
23;2003;Comptes Rendus Palevol;
24;1969;The South African Archaeological Bulletin;
26;1967;The South African Archaeological Bulletin;
27;1980;American Journal of Physical Anthropology;
28;1923;The Journal of the Anthropological Institute of Great Britain and Ireland;
29;1986;Journal of the Geological Society;
30;1973;The South African Archaeological Bulletin;
31;1974;Journal of Archaeological Science;
32;2004;Journal of Archaeological Science;
33;1978;Journal of Archaeological Science;
34;1987;Nature;
35;1974;Man;
36;1997;The South African Archaeological Bulletin;
37;2004;Studies on the Early Paleolithic site of Melka Kunture, Ethiopia;
38;2004;Studies on the Early Paleolithic site of Melka Kunture, Ethiopia;
40;2000;South African Journal of Science;
42;1958;The South African Archaeological Bulletin;
43;2001;Journal of Archaeological Science;
44;1970;World Archaeology;
45;1985;Ancestors: The Hard Evidence;
46;2003;Quaternary Research;
47;2004;Studies on the Early Paleolithic site of Melka Kunture, Ethiopia;
48;1959;The South African Archaeological Bulletin;
49;1963;The South African Archaeological Bulletin;
50;1971;The South African Archaeological Bulletin;
51;1975;The South African Archaeological Bulletin;
52;1980;The South African Archaeological Bulletin;
53;1994;South African Journal of Science;
54;1993;Journal of Human Evolution;
55;1983;The South African Archaeological Bulletin;
56;2003;Journal of Archaeological Science;
57;1975;Nature;
58;1925;Nature;
59;1948;The South African Archaeological Bulletin;
60;1980;Nature;
61;2009;Journal of Human Evolution;
62;1979;World Archaeology;
63;1993;The South African Archaeological Bulletin;
64;1988;Early Man in the Southern Hemisphere: Supplement to Archaeometry, Australasian Studies 1988;
65;1972;The South African Archaeological Bulletin;
66;1995;The South African Archaeological Bulletin;
67;1993;The South African Archaeological Bulletin;
68;2002;Journal of Human Evolution;
69;2001;South African Journal of Science;
70;2009;Journal of Archaeological Science;
71;2002;Journal of Field Archaeology;
72;2006;Journal of Archaeological Science;
73;1987;Laetoli, A Pliocene site in Northern Tanzania;
74;1929;The Journal of the Anthropological Institute of Great Britain and Ireland;
75;1988;Geologische Rundschau;
77;1973;The South African Archaeological Bulletin;
78;1997;Quaternary Science Reviews;
79;2002;Journal of Archaeological Science;
80;2000;Journal of Human Evolution;
81;1989;American Journal of Physical Anthropology;
82;2009;Journal of Human Evolution;
83;2004;Rivista Italiana di Paleontologia e Stratigrafia;
84;2003;Journal of Archaeological Science;
85;2006;Journal of African Earth Sciences;
86;2008;Journal of African Earth Sciences;
87;2009;Palaeogeography, Palaeoclimatology, Palaeoecology;
88;1929;The Journal of the Anthropological Institute of Great Britain and Ireland;
89;1953;The South African Archaeological Bulletin;
90;1994;African Archaeological Review;
91;1989;American Journal of Physical Anthropology;
92;2000;Journal of Human Evolution;
93;2002;Journal of Human Evolution;
94;2000;Journal of Human Evolution;
95;1993;South African Journal of Science;
96;2001;Journal of Human Evolution;
97;2003;Journal of Human Evolution;
98;1996;Nature;
99;1990;Current Anthropology;
100;1991;Archaeometry;
101;1994;Journal of Human Evolution;
102;2003;Journal of Archaeological Science;
103;1980;The Journal of African History;
104;2004;Human Evolution;
105;1976;Geology of the Olduvai Gorge;
106;2002;American Journal of Physical Anthropology;
107;2006;Journal of Human Evolution;
108;1992;Nature;
109;2004;The Human Fossil Record, Vol. 3: Brain Endocasts - The Paleoneurological Evidence;
110;1977;Nature;
111;1985;The South African Archaeological Bulletin;
112;1974;Nature;
113;2003;Journal of Human Evolution;
114;2006;Journal of Human Evolution;
115;2009;Quaternary Geochronology;
116;1978;Science;
117;2003;Journal of Human Evolution;
118;2008;Journal of Archaeological Science;
119;2001;Antiquity;
120;1999;Current Anthropology;
121;1996;The South African Archaeological Bulletin;
122;1978;Science;
123;1978;Kirtlandia;
124;1948;The South African Archaeological Bulletin;
125;1995;The South African Archaeological Bulletin;
126;1986;South African Journal of Science;
127;1989;Goodwin Series;
128;1987;Journal of Human Evolution;
130;1969;The South African Archaeological Bulletin;
131;1970;The South African Archaeological Bulletin;
132;1973;Montagu Cave in Prehistory: A Descriptive Analysis;
133;2000;South African Journal of Science;
135;2006;The South African Archaeological Bulletin;
136;1970;The South African Archaeological Bulletin;
137;1973;Nature;
138;1974;World Archaeology;
139;2000;The South African Archaeological Bulletin;
140;2001;Journal of Anthropological Research;
141;2009;The Human Career: Human Biological and Cultural Origins;
142;2004;Proceedings of the National Academy of Sciences of the United States of America;
143;1996;Journal of Human Evolution;
144;1991;Quaternary Research;
145;1999;Quaternary Research;
146;1994;South African Journal of Science;
147;1996;Aspects of African Archaeology, Papers from the 10th Congress of the Panafrican Association for Prehistory and Related Studies;
148;2001;The South African Archaeological Bulletin;
149;1986;Geoarchaeology;
150;2000;Journal of Human Evolution;
152;2007;American Journal of Physical Anthropology;
153;2002;Palaeontologia Africana;
154;2004;Geoarchaeology;
155;1987;Laetoli, A Pliocene site in Northern Tanzania;
156;2001;Nature;
157;1970;Nature;
158;1969;The South African Archaeological Bulletin;
159;2004;Rivista Italiana di Paleontologia e Stratigrafia;
160;2008;Journal of Archaeological Science;
161;1949;The South African Archaeological Bulletin;
162;1955;The South African Archaeological Bulletin;
163;1956;The South African Archaeological Bulletin;
164;2007;Nature;
165;2000;Journal of Human Evolution;
166;2004;PaleoAnthropology;
167;1951;The South African Archaeological Bulletin;
168;1957;The South African Archaeological Bulletin;
169;1965;The South African Archaeological Bulletin;
170;1969;The South African Archaeological Bulletin;
171;1958;The South African Archaeological Bulletin;
172;1999;The South African Archaeological Bulletin;
173;1992;Human Evolution;
175;1984;Journal of Human Evolution;
176;1987;Journal of Archaeological Science;
177;1999;Journal of Human Evolution;
178;1999;Quaternary Science Reviews;
179;1971;The South African Archaeological Bulletin;
180;1994;Southern African Field Archaeology;
181;1995;The South African Archaeological Bulletin;
182;1996;The South African Archaeological Bulletin;
183;1992;The South African Archaeological Bulletin;
184;1991;Oecologia;
185;1976;Nature;
186;1967;Catalogue of Fossil Hominids. Part I, Africa;
187;1978;The South African Archaeological Bulletin;
188;1938;Man;
189;1940;Man;
190;1976;The South African Archaeological Bulletin;
191;1971;The South African Archaeological Bulletin;
192;1964;The South African Archaeological Bulletin;
194;1999;Journal of Quaternary Science;
195;1997;Journal of Human Evolution;
196;1976;The Prehistory of Eastern Zambia;
197;2007;Journal of Human Evolution;
198;2004;Studies on the Early Paleolithic site of Melka Kunture, Ethiopia;
199;1997;Journal of Archaeological Science;
201;1978;Science;
202;1955;The South African Archaeological Bulletin;
203;1975;Journal of Human Evolution;
204;1974;Journal of Human Evolution;
205;2004;Studies on the Early Paleolithic site of Melka Kunture, Ethiopia;
206;1983;American Journal of Physical Anthropology;
207;1991;Journal of Human Evolution;
208;2001;Journal of Human Evolution;
209;1992;The South African Archaeological Bulletin;
210;2000;Journal of Archaeological Science;
211;1997;South African Journal of Science;
212;2008;Ichnos: An International Journal for Plant and Animal Traces;
213;1962;The South African Archaeological Bulletin;
214;1988;African Archaeological Review;
215;1997;South African Journal of Science;
216;2000;Journal of Human Evolution;
217;2002;The Human Fossil Record, Vol. 1: Terminology and Craniodental Morphology of Genus Homo (Europe);
218;2003;The Human Fossil Record, Vol. 2: Craniodental Morphology of Genus Homo (Africa and Asia);
219;2005;The Human Fossil Record, Vol. 4: Craniodental Morphology of Early Hominids (Genera Australopithecus, Paranthropus, Orrorin) and Overview;
220;1967;The South African Archaeological Bulletin;
221;2002;Journal of Human Evolution;
222;1993;The South African Archaeological Bulletin;
223;1982;The Middle Stone Age at Klasies River Mouth in South Africa;
224;1973;The South African Archaeological Bulletin;
226;2009;Journal of Human Evolution;
227;2001;Journal of Human Evolution;
228;1989;American Journal of Physical Anthropology;
