assemblage.name;assemblage.category;country_continent.continent;locality.idlocality;locality.x;locality.y
Aar Layer 1 Archaeological Assemblage;miscellaneous finds, raw material, symbolic artifacts, technology, typology;Africa;Aar 1;16.488989;-26.772622;
Aar Layer 4-2 Archaeological Assemblage;miscellaneous finds, raw material, symbolic artifacts, technology, typology;Africa;Aar 1;16.488989;-26.772622;
Aar Layer 4-2 Fauna;paleofauna;Africa;Aar 1;16.488989;-26.772622;
Aar 2 Layer 4-1 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;Aar 2;16.468356;-26.728179;
Aar 2 fauna;paleofauna;Africa;Aar 2;16.468356;-26.728179;
MSA hilltop rubble;raw material, technology, typology;Africa;Aasvoelkop;28;-26.17;
Abdur MSA assamblage;miscellaneous finds, raw material, technology, typology;Africa;Abdur Archaeological Site;39.864369;15.151203;
Abri Blanchard des Roches Exc. Didon Archaeological Assemblage;miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Europe;Abri Blanchard des Roches;1.101003;45.000152;
Abri Blanchard des Roches Sector 1 Archaeological Assemblage;raw material, technology, typology;Europe;Abri Blanchard des Roches;1.101003;45.000152;
Abri Blanchard des Roches Sector 4/5 Fauna;animal remains, paleofauna;Europe;Abri Blanchard des Roches;1.101003;45.000152;
Abri Blanchard des Roches Sector 4/5 Unit C Archaeological Assemblage;organic tools, raw material, symbolic artifacts, technology, typology;Europe;Abri Blanchard des Roches;1.101003;45.000152;
Abri Caminade Est Unit D1 Archaeological Assemblage;raw material, technology, typology;Europe;Abri Caminade;1.248703;44.868487;
Abri Caminade Est Unit D2i Archaeological Assemblage;miscellaneous finds, organic tools, raw material, technology, typology;Europe;Abri Caminade;1.248703;44.868487;
Abri Caminade Est Unit D2s Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Europe;Abri Caminade;1.248703;44.868487;
Abri Caminade Est Unit F Archaeological Assemblage;miscellaneous finds, organic tools, raw material, technology, typology;Europe;Abri Caminade;1.248703;44.868487;
